sp,weber.length,head.width,pronotum.width,mandible.length,scape.length,eye.width,leg.length,label,caste
pfer,0.920376,0.665594,0.40236,0.427053,0.810462,0.12798,1.517981,LMC0400,w
pfer,0.877027,0.633213,0.372309,0.399973,0.790993,0.132502,1.463898,MP0112,w
pfer,1.247156,1.297254,0.606956,0.689104,0.828944,0.158952,1.865309,LMC0233,m
plon,0.888959,0.50825,0.366635,0.282923,1.052045,0.200755,1.704257,LMC0002,w
plon,0.976944,0.516726,0.397918,0.278797,NA,0.180453,1.924902,LMC0012,w
plon,1.079724,0.551102,0.422917,0.325673,1.213574,0.20169,2.150111,LMC0028,w
plon,0.948277,0.536328,0.395599,0.305699,1.122775,0.201939,2.127335,LMC0069,w
plon,1.011038,0.544287,0.410276,0.334591,1.141692,0.214132,2.196824,LMC0105,w
plon,0.962251,0.493559,0.37357,0.295442,1.110023,0.181704,NA,LMC0149,w
plon,1.00656,0.557374,0.429258,0.339138,1.16034,0.221731,2.301396,LMC0157,w
plon,0.979927,0.536193,0.394259,0.302339,1.056992,0.197385,2.027231,LMC0169,w
plon,1.015352,0.564932,0.39262,0.34131,1.141819,0.219223,1.798826,LMC0181,w
plon,0.968,0.538,0.409,0.288,1.181,0.21,1.798,LMC0199,w
pnod,1.028107,0.753552,0.424577,0.460326,0.935571,0.156842,1.989329,LMC0092,w
pnod,1.288602,0.74498,0.412339,0.465428001,0.920886,0.238865999,2.234778,LMC0108,w
pnod,1.00937,0.706639,0.411612,0.422179,0.850669,0.172401,1.676306,LMC0176,w
pnod,1.120524,0.732324,0.444535,0.462109,0.983423,0.183777,2.012921,LMC0290,w
pnod,1.018502,0.71811,0.413242,0.455172,0.869022,0.162942,1.728996,LMC0408,w
pnod,1.146,0.748,0.448,0.479,0.978,0.198999999,1.884,LMC0409,w
pnod,1.21,0.747,0.439,0.429000001,0.963,0.202,1.933999999,LMC0410,w
pnod,1.098,0.743,0.469,0.43,0.924,0.198,1.765,LMC0411,w
pnod,1.061,0.747,0.425,0.437,0.934,0.178,1.836,LMC0412,w
pnod,1.136,0.722,0.422,0.411,0.997,0.16,1.95,LMC0413,w
ppar,0.56737,0.493842,0.304266,0.277591,0.396611,0.10228,0.745595,LMC0004,w
ppar,0.590894,0.468358,0.316642,0.278921,0.372671,0.095117,0.793488,LMC0014,w
ppar,0.526368,0.451496,0.282069,0.27537,0.36587,0.090972,0.709759,LMC0030,w
ppar,0.559087,0.489306,0.290141,0.311124,0.39614,0.076497,NA,LMC0097,w
ppar,0.533979,0.472761,0.28449,0.26169,0.373024,0.090262,0.740813,LMC0154,w
ppar,0.607356,0.498877,0.307318,0.303048,0.366329,0.088203,0.774506,LMC0166,w
ppar,0.563057,0.47472,0.286821,0.273259,0.407551,0.09345,0.699658,LMC0183,w
ppar,0.587588,0.513284,0.309911,0.295249,0.395867,0.087481,0.836687,LMC0194,w
ppar,0.602962,0.507275,0.322667,0.297288,0.394374,0.105142,0.797751,LMC0292,w
ppar,0.588042,0.493395,0.31186,0.287293,0.40584,0.092742,0.813919,LMC0350,w
ppar,0.801068,0.889454,0.445727,0.4465,0.377469,0.120569,1.058601,LMC0300,m
semm,0.422,0.351,0.224,0.134,0.179,0.025,0.46,BMW00009,w
semm,0.45,0.36,0.225,0.14,0.18,0.03,0.48,BMW00102,w
semm,0.43,0.363,NA,0.131,0.196,NA,NA,BMW00140,w
semm,0.45,0.36,0.225,0.14,0.18,0.02,0.41,BMW00341,w
semm,0.45,0.36,0.225,0.13,0.2,0.02,0.43,BMW00355,w
semm,0.436,0.37,0.229,0.119,0.178,NA,NA,BMW01933,w
semm,0.424,0.349,0.213,0.125,0.195,NA,0.414,GYDW018,w
semm,0.428,0.346,0.224,0.113,0.189,0.024,0.438,LMC0550,w
semm,0.4,0.33,0.223697082,0.12,0.16,NA,0.42,RHL02931,w
semm,0.44,0.35,0.22,0.13,NA,NA,0.45,RHL02965,w
sinv,0.987697,0.700089,0.427549,0.363333,0.645619,0.163744,1.262245,LMC0022,w
sinv,0.783512,0.571413,0.353139,0.32353,0.507792,0.135701,0.963724,LMC0023,w
sinv,0.882793,0.658051,0.413911,0.359546,0.596857,0.15361,1.229525,LMC0032,w
sinv,0.859879,0.63699,0.34522,0.354183,0.583581,0.145806,1.176281,LMC0039,w
sinv,0.837997,0.628969,NA,0.358366,0.582741,0.145238,NA,LMC0049,w
sinv,0.727186,0.566198,0.357236,0.33699,0.471353,0.132683,0.990937,LMC0079,w
sinv,0.810439,0.607419,0.366217,0.38764,0.537016,0.133315,1.111669,LMC0082,w
sinv,0.880223,0.667152,0.419333,0.075097,0.630644,0.152674,1.185805,LMC0098,w
sinv,0.817521,0.587111,0.371104,0.333339,0.536116,0.126263,1.085895,LMC0113,w
sinv,0.916488,0.680476,NA,0.390077,0.621264,0.13818,1.313931,LMC0120,w
sinv,0.893296,0.650479,0.386593,0.36818,0.602076,0.147514,1.166508,LMC0127,w
sinv,0.808288,0.58567,0.35956,NA,0.540178,0.138342,1.013839,LMC0142,w
sinv,0.838732,0.628637,0.373045,0.337641,0.54181,0.144011,1.220708,LMC0147,w
sinv,1.400479,1.129045,0.661836,0.631315,0.901583,0.208845,1.927638,LMC0048,m
sinv,0.965888,0.740109,0.45829,0.393944,0.647312,0.158508,1.382955,LMC0054,m
sinv,1.553185,1.280812,0.76791,0.757043,0.944325,0.216,2.20263,LMC0078,m
sinv,1.072692,0.814780001,0.488854,0.528018,0.715632,0.177703,1.494646,LMC0081,m
sinv,1.647828,1.25915,0.711714,0.79351,0.978105,0.235409,2.232144999,LMC0088,m
sinv,1.328729,1.020072001,0.610171,0.590398001,0.858542,0.191635001,1.903412,LMC0112,m
sinv,1.230432,0.987607,0.570602,0.528682,0.77762,0.191875,1.748306,LMC0132,m
sjac,0.401,0.295,0.202,0.166,0.238,0.033,0.444,GYLL014,w
sjac,0.378,0.294,0.202,0.176,0.221,0.034,NA,GYLL029,w
sjac,0.424,0.295,0.209,0.184,0.227,0.037,0.422,IAS030213,w
sjac,0.375,0.283,0.203,0.162,0.219,0.033,NA,IAS1201,w
sjac,0.463,0.317,0.222,0.185,0.244,0.04,0.483,ISP0095,w
sjac,0.441573,0.324579,0.227021,0.201513,0.234678,NA,0.460521,LMC0096,w
sjac,0.407553,0.309585,0.210049,NA,0.176883,0.036632,NA,LMC0251,w
sjac,0.421409,0.318473,0.223313,0.191923,0.241401,0.036535,0.495181,LMC0261,w
sjac,0.411319,0.316874,0.215014,0.187987,0.214142,0.033804,0.48532,MP0090,w
sjac,0.459833,0.322554,0.224515,0.202682,0.24397,0.038772,0.476354,MP0122,w
ssp1,0.487,0.352,0.229,0.206,0.312,0.031,0.623,BMW00108,w
ssp1,0.495,0.339,0.242,0.193,0.327,0.032,0.633,BMW00321,w
ssp1,0.489,0.349,0.242,0.224,0.329,0.034,0.613,BMW00793,w
ssp1,0.46,0.343,0.24,0.205,0.316,0.031,NA,BMW01974,w
